// Expected result from ComposeTree
// --------------------------------------------------------------------
// The data is generated by DEBUG output in the agent. See ComposeTree.
// Input: simple-slot-table.csv
//
// Column 1: indent in spaces, determines parent relationship
// Column 2: compose-able name
// Column 3: drawId or RenderNode id
// Column 4: fileName
// Column 5: lineNumber
// Column 6: invocation
// Column 7: left
// Column 8: top
// Column 9: right
// Column 10: bottom
//
"", "MyComposeTheme", 0, "MainActivity.kt", 25, "com.example.mycompose.MainActivity$onCreate$1.invoke", 55, 121, 476, 390
" ", "ProvideTextStyle", 0, "MaterialTheme.kt", 66, "androidx.ui.material.MaterialThemeKt$MaterialTheme$1$1.invoke", 55, 121, 476, 390
"  ", "Column", 77, "MainActivity.kt", 26, "com.example.mycompose.MainActivity$onCreate$1$1.invoke", 55, 121, 476, 390
"   ", "Text", 0, "MainActivity.kt", 27, "com.example.mycompose.MainActivity$onCreate$1$1$1.invoke", 55, 121, 244, 232
"    ", "CoreText", 0, "Text.kt", 214, "androidx.ui.foundation.TextKt$Text$5.invoke", 55, 121, 244, 232
"   ", "Greeting", 0, "MainActivity.kt", 35, "com.example.mycompose.MainActivity$onCreate$1$1$1.invoke", 55, 232, 476, 291
"    ", "CoreText", 0, "Text.kt", 214, "androidx.ui.foundation.TextKt$Text$5.invoke", 55, 232, 476, 291
"   ", "Button", 0, "MainActivity.kt", 36, "com.example.mycompose.MainActivity$onCreate$1$1$1.invoke", 55, 291, 231, 390
"    ", "Surface", 0, "Button.kt", 89, "androidx.ui.material.ButtonKt$Button$1.invoke", 55, 291, 231, 390
"     ", "Box", 0, "Button.kt", 97, "androidx.ui.material.ButtonKt$Button$1$1.invoke", 99, 313, 187, 368
"      ", "ProvideTextStyle", 0, "Button.kt", 106, "androidx.ui.material.ButtonKt$Button$1$1$1.invoke", 115, 315, 171, 367
"       ", "Text", 0, "MainActivity.kt", 36, "com.example.mycompose.MainActivity$onCreate$1$1$1$2.invoke", 115, 315, 171, 367
"        ", "CoreText", 0, "Text.kt", 214, "androidx.ui.foundation.TextKt$Text$5.invoke", 115, 315, 171, 367
